neighborhood,valor_atual,method,n_obs,prev_12_meses,forecast_list_12,prev_24_meses,forecast_list_24,prev_36_meses,forecast_list_36
Fazendinha,247,arima,240,243,"[246.30579705438655, 245.69864494912497, 245.16762778584027, 244.70319848507805, 244.2970071407677, 243.94175089848957, 243.63104265852974, 243.359296243154, 243.12162596354023, 242.91375878069778, 242.73195748112815, 242.57295348601338]",242,"[246.30579705438655, 245.69864494912497, 245.16762778584027, 244.70319848507805, 244.2970071407677, 243.94175089848957, 243.63104265852974, 243.359296243154, 243.12162596354023, 242.91375878069778, 242.73195748112815, 242.57295348601338, 242.43388808591828, 242.31226104447413, 242.20588564699682, 242.11284938586527, 242.03147957582829, 241.9603132810425, 241.89807101316407, 241.84363372761607, 241.7960227044505, 241.75438195208653, 241.7179628175637, 241.6861105266204]",242,"[246.30579705438655, 245.69864494912497, 245.16762778584027, 244.70319848507805, 244.2970071407677, 243.94175089848957, 243.63104265852974, 243.359296243154, 243.12162596354023, 242.91375878069778, 242.73195748112815, 242.57295348601338, 242.43388808591828, 242.31226104447413, 242.20588564699682, 242.11284938586527, 242.03147957582829, 241.9603132810425, 241.89807101316407, 241.84363372761607, 241.7960227044505, 241.75438195208653, 241.7179628175637, 241.6861105266204, 241.65825241160402, 241.6338876155632, 241.6125780874145, 241.59394070628645, 241.5776403934457, 241.56338408796586, 241.55091547782808, 241.54001039172516, 241.5304727687184, 241.52213113328693, 241.5148355123946, 241.5084547391467]"
Fumo Verde,86,arima,240,84,"[85.80718225778939, 85.62060211112174, 85.44005777567102, 85.26535399477304, 85.09630182825748, 84.93271844811136, 84.77442694075248, 84.62125611569944, 84.47304032043104, 84.32961926123498, 84.19083782985196, 84.05654593572788]",83,"[85.80718225778939, 85.62060211112174, 85.44005777567102, 85.26535399477304, 85.09630182825748, 84.93271844811136, 84.77442694075248, 84.62125611569944, 84.47304032043104, 84.32961926123498, 84.19083782985196, 84.05654593572788, 83.9265983436926, 83.80085451688974, 83.67917846478763, 83.5614385961071, 83.44750757650701, 83.33726219087356, 83.23058321006455, 83.12735526196442, 83.0274667067106, 82.93080951595623, 82.83727915603875, 82.74677447492792]",82,"[85.80718225778939, 85.62060211112174, 85.44005777567102, 85.26535399477304, 85.09630182825748, 84.93271844811136, 84.77442694075248, 84.62125611569944, 84.47304032043104, 84.32961926123498, 84.19083782985196, 84.05654593572788, 83.9265983436926, 83.80085451688974, 83.67917846478763, 83.5614385961071, 83.44750757650701, 83.33726219087356, 83.23058321006455, 83.12735526196442, 83.0274667067106, 82.93080951595623, 82.83727915603875, 82.74677447492792, 82.65919759283103, 82.57445379633701, 82.49245143598493, 82.41310182714618, 82.33631915411299, 82.26202037728974, 82.1901251433866, 82.12055569851829, 82.05323680411416, 81.98809565554856, 81.9250618034034, 81.8640670772779]"
Itapecuruzinho,239,arima,240,235,"[238.25936045001322, 237.62508370950871, 237.08189507807225, 236.6167134460182, 236.21833627411712, 235.87716981319923, 235.58499806676153, 235.33478493271903, 235.1205047594624, 234.9369972356603, 234.77984311925195, 234.64525781292565]",234,"[238.25936045001322, 237.62508370950871, 237.08189507807225, 236.6167134460182, 236.21833627411712, 235.87716981319923, 235.58499806676153, 235.33478493271903, 235.1205047594624, 234.9369972356603, 234.77984311925195, 234.64525781292565, 234.5300002231602, 234.43129470796572, 234.3467642336635, 234.27437313098113, 234.21237807191127, 234.15928608675478, 234.1138186103115, 234.07488069137656, 234.04153462404255, 234.01297736579508, 233.9885211985822, 233.96757716713626]",234,"[238.25936045001322, 237.62508370950871, 237.08189507807225, 236.6167134460182, 236.21833627411712, 235.87716981319923, 235.58499806676153, 235.33478493271903, 235.1205047594624, 234.9369972356603, 234.77984311925195, 234.64525781292565, 234.5300002231602, 234.43129470796572, 234.3467642336635, 234.27437313098113, 234.21237807191127, 234.15928608675478, 234.1138186103115, 234.07488069137656, 234.04153462404255, 234.01297736579508, 233.9885211985822, 233.96757716713626, 233.9496408957087, 233.9342804416551, 233.92112589335966, 233.90986046199595, 233.9002128525942, 233.89195073069547, 233.88487512725564, 233.87881564705773, 233.87362636524156, 233.86918231313015, 233.86537646872458, 233.86211717939216]"
José Castro,225,arima,240,221,"[224.40294527692078, 223.88691659189496, 223.44091793636784, 223.05544556534633, 222.722285482957, 222.43433841115126, 222.18546851183177, 221.97037263883374, 221.78446733366303, 221.623791156994, 221.48492027471727, 221.36489549976858]",221,"[224.40294527692078, 223.88691659189496, 223.44091793636784, 223.05544556534633, 222.722285482957, 222.43433841115126, 222.18546851183177, 221.97037263883374, 221.78446733366303, 221.623791156994, 221.48492027471727, 221.36489549976858, 221.2611592350794, 221.17150097397231, 221.09401019667442, 221.02703565922425, 220.9691502072637, 220.9191203649349, 220.87588005085476, 220.8385078610833, 220.80620743501035, 220.7782904857796, 220.754162133646, 220.73330822973728]",221,"[224.40294527692078, 223.88691659189496, 223.44091793636784, 223.05544556534633, 222.722285482957, 222.43433841115126, 222.18546851183177, 221.97037263883374, 221.78446733366303, 221.623791156994, 221.48492027471727, 221.36489549976858, 221.2611592350794, 221.17150097397231, 221.09401019667442, 221.02703565922425, 220.9691502072637, 220.9191203649349, 220.87588005085476, 220.8385078610833, 220.80620743501035, 220.7782904857796, 220.754162133646, 220.73330822973728, 220.7152844001021, 220.69970657658567, 220.6862428127563, 220.67460621048886, 220.66454880647862, 220.6558562884136, 220.64834342821288, 220.64185013501833, 220.6362380438328, 220.63138756711305, 220.62719534648957, 220.62357205031242]"
João Viana,272,arima,240,267,"[271.22265763831876, 270.55899640263897, 269.9923911879284, 269.5086481996727, 269.0956493909588, 268.7430488982588, 268.4420138714523, 268.1850032057255, 267.96557863245226, 267.7782434367708, 267.61830476163755, 267.4817560489926]",267,"[271.22265763831876, 270.55899640263897, 269.9923911879284, 269.5086481996727, 269.0956493909588, 268.7430488982588, 268.4420138714523, 268.1850032057255, 267.96557863245226, 267.7782434367708, 267.61830476163755, 267.4817560489926, 267.36517667311966, 267.26564625195584, 267.18067148980026, 267.1081237187875, 267.04618557450317, 266.9933054699344, 266.94815872730084, 266.9096143940957, 266.876706912059, 266.8486119293742, 266.8246256501694, 266.8041472040161]",267,"[271.22265763831876, 270.55899640263897, 269.9923911879284, 269.5086481996727, 269.0956493909588, 268.7430488982588, 268.4420138714523, 268.1850032057255, 267.96557863245226, 267.7782434367708, 267.61830476163755, 267.4817560489926, 267.36517667311966, 267.26564625195584, 267.18067148980026, 267.1081237187875, 267.04618557450317, 266.9933054699344, 266.94815872730084, 266.9096143940957, 266.876706912059, 266.8486119293742, 266.8246256501694, 266.8041472040161, 266.78666359377064, 266.77173684469375, 266.7589930329251, 266.7481129184703, 266.73882394805094, 266.7308934274842, 266.72412269255665, 266.7183421323685, 266.71340694048075, 266.7091934874284, 266.70559622372963, 266.702525035809]"
Luiza Queiroz,95,arima,240,92,"[94.70026127535913, 94.41230327302684, 94.13566297168921, 93.86989554829998, 93.61457366282836, 93.3692867711189, 93.13364046475797, 92.90725583688591, 92.68976887293461, 92.48082986531132, 92.28010285108726, 92.08726507178685]",90,"[94.70026127535913, 94.41230327302684, 94.13566297168921, 93.86989554829998, 93.61457366282836, 93.3692867711189, 93.13364046475797, 92.90725583688591, 92.68976887293461, 92.48082986531132, 92.28010285108726, 92.08726507178685, 91.90200645440908, 91.7240291128465, 91.55304686889994, 91.38878479211913, 91.23097875772892, 91.07937502193059, 90.93372981389514, 90.79380894379265, 90.65938742622738, 90.53024911847302, 90.40618637292664, 90.28699970322224]",89,"[94.70026127535913, 94.41230327302684, 94.13566297168921, 93.86989554829998, 93.61457366282836, 93.3692867711189, 93.13364046475797, 92.90725583688591, 92.68976887293461, 92.48082986531132, 92.28010285108726, 92.08726507178685, 91.90200645440908, 91.7240291128465, 91.55304686889994, 91.38878479211913, 91.23097875772892, 91.07937502193059, 90.93372981389514, 90.79380894379265, 90.65938742622738, 90.53024911847302, 90.40618637292664, 90.28699970322224, 90.17249746346712, 90.0624955400855, 89.95681705577341, 89.85529208508946, 89.75775738122354, 89.66405611350461, 89.57403761522525, 89.48755714137745, 89.40447563591032, 89.32465950813524, 89.2479804179191, 89.17431506932006]"
Morro do Alecrim,58,arima,240,58,"[58.08905561609007, 58.07193952220681, 58.07522915943221, 58.074596905768, 58.07471842211419, 58.07469506721215, 58.07469955592059, 58.07469869321076, 58.07469885901976, 58.07469882715201, 58.074698833276855, 58.074698832099685]",58,"[58.08905561609007, 58.07193952220681, 58.07522915943221, 58.074596905768, 58.07471842211419, 58.07469506721215, 58.07469955592059, 58.07469869321076, 58.07469885901976, 58.07469882715201, 58.074698833276855, 58.074698832099685, 58.07469883232593, 58.074698832282444, 58.0746988322908, 58.074698832289194, 58.0746988322895, 58.07469883228944, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946]",58,"[58.08905561609007, 58.07193952220681, 58.07522915943221, 58.074596905768, 58.07471842211419, 58.07469506721215, 58.07469955592059, 58.07469869321076, 58.07469885901976, 58.07469882715201, 58.074698833276855, 58.074698832099685, 58.07469883232593, 58.074698832282444, 58.0746988322908, 58.074698832289194, 58.0746988322895, 58.07469883228944, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946, 58.07469883228946]"
Mutirão,283,arima,240,277,"[281.9310374490355, 281.01298989301773, 280.2245513136215, 279.5474236535067, 278.96589215558896, 278.4664606554592, 278.0375383628318, 277.66917086285457, 277.35280909436665, 277.08111094356076, 276.84777084844063, 276.64737345953984]",276,"[281.9310374490355, 281.01298989301773, 280.2245513136215, 279.5474236535067, 278.96589215558896, 278.4664606554592, 278.0375383628318, 277.66917086285457, 277.35280909436665, 277.08111094356076, 276.84777084844063, 276.64737345953984, 276.4752679606646, 276.3274601329001, 276.20051965690584, 276.09150050217386, 275.9978725556471, 275.9174629029364, 275.8484053993927, 275.78909736068186, 275.73816236773797, 275.6944183228734, 275.6568500156937, 275.62458556212704]",275,"[281.9310374490355, 281.01298989301773, 280.2245513136215, 279.5474236535067, 278.96589215558896, 278.4664606554592, 278.0375383628318, 277.66917086285457, 277.35280909436665, 277.08111094356076, 276.84777084844063, 276.64737345953984, 276.4752679606646, 276.3274601329001, 276.20051965690584, 276.09150050217386, 275.9978725556471, 275.9174629029364, 275.8484053993927, 275.78909736068186, 275.73816236773797, 275.6944183228734, 275.6568500156937, 275.62458556212704, 275.5968761697668, 275.57307875992103, 275.552641043063, 275.5350887013133, 275.520014380486, 275.50706823622517, 275.49594981482886, 275.48640108032885, 275.4782004260001, 275.47115753131925, 275.4651089450117, 275.4599142916798]"
Nova Caxias,440,arima,240,431,"[438.38677931087364, 437.01209371685223, 435.8406727853284, 434.842461263523, 433.99184794814624, 433.2670085764392, 432.6493458790901, 432.12301242841386, 431.67450403946674, 431.2923132919521, 430.96663428329697, 430.689111037723]",429,"[438.38677931087364, 437.01209371685223, 435.8406727853284, 434.842461263523, 433.99184794814624, 433.2670085764392, 432.6493458790901, 432.12301242841386, 431.67450403946674, 431.2923132919521, 430.96663428329697, 430.689111037723, 430.45262311622037, 430.2511029267999, 430.0793800477369, 429.93304856959327, 429.80835405240055, 429.7020971976542, 429.6115517636226, 429.534394617916, 429.4686461326694, 429.41261939305065, 429.36487691593453, 429.324193768268]",429,"[438.38677931087364, 437.01209371685223, 435.8406727853284, 434.842461263523, 433.99184794814624, 433.2670085764392, 432.6493458790901, 432.12301242841386, 431.67450403946674, 431.2923132919521, 430.96663428329697, 430.689111037723, 430.45262311622037, 430.2511029267999, 430.0793800477369, 429.93304856959327, 429.80835405240055, 429.7020971976542, 429.6115517636226, 429.534394617916, 429.4686461326694, 429.41261939305065, 429.36487691593453, 429.324193768268, 429.2895261388521, 429.25998455718377, 429.23481107223046, 429.2133598056122, 429.1950803802413, 429.1795037992479, 429.16623041288483, 429.1549196646777, 429.14528135373695, 429.137068189047, 429.1300694446987, 429.12410555327534]"
Pai Geraldo,41,arima,240,41,"[40.987582638544524, 40.990594255814266, 40.989863839887185, 40.990040989696986, 40.98999802506006, 40.99000844539316, 40.99000591812074, 40.99000653106716, 40.99000638240756, 40.990006418462386, 40.99000640971791, 40.99000641183873]",41,"[40.987582638544524, 40.990594255814266, 40.989863839887185, 40.990040989696986, 40.98999802506006, 40.99000844539316, 40.99000591812074, 40.99000653106716, 40.99000638240756, 40.990006418462386, 40.99000640971791, 40.99000641183873, 40.99000641132436, 40.99000641144911, 40.990006411418854, 40.990006411426194, 40.99000641142442, 40.99000641142485, 40.990006411424744, 40.99000641142477, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766]",41,"[40.987582638544524, 40.990594255814266, 40.989863839887185, 40.990040989696986, 40.98999802506006, 40.99000844539316, 40.99000591812074, 40.99000653106716, 40.99000638240756, 40.990006418462386, 40.99000640971791, 40.99000641183873, 40.99000641132436, 40.99000641144911, 40.990006411418854, 40.990006411426194, 40.99000641142442, 40.99000641142485, 40.990006411424744, 40.99000641142477, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766, 40.990006411424766]"
Pampulha,160,arima,240,157,"[159.52861541101825, 159.10305272611205, 158.71885773328088, 158.37200920132116, 158.05887679104148, 157.77618305780422, 157.5209691476879, 157.2905638282244, 157.08255552956672, 156.89476710345215, 156.72523303577242, 156.5721788742422]",156,"[159.52861541101825, 159.10305272611205, 158.71885773328088, 158.37200920132116, 158.05887679104148, 157.77618305780422, 157.5209691476879, 157.2905638282244, 157.08255552956672, 156.89476710345215, 156.72523303577242, 156.5721788742422, 156.43400265584364, 156.3092581396538, 156.19663966955966, 156.09496850842388, 156.00318050066585, 155.9203149341269, 155.8455044846407, 155.77796613806228, 155.7169929947397, 155.66194687064902, 155.61225161775093, 155.56738709365587]",155,"[159.52861541101825, 159.10305272611205, 158.71885773328088, 158.37200920132116, 158.05887679104148, 157.77618305780422, 157.5209691476879, 157.2905638282244, 157.08255552956672, 156.89476710345215, 156.72523303577242, 156.5721788742422, 156.43400265584364, 156.3092581396538, 156.19663966955966, 156.09496850842388, 156.00318050066585, 155.9203149341269, 155.8455044846407, 155.77796613806228, 155.7169929947397, 155.66194687064902, 155.61225161775093, 155.56738709365587, 155.52688371748022, 155.49031755491154, 155.4573058810402, 155.427503174515, 155.40059750109506, 155.37630724874606, 155.35437818010803, 155.3345807714841, 155.3167078104983, 155.30057222727785, 155.28600513646003, 155.27285406952953]"
Pirajá,158,arima,240,155,"[157.46962207662455, 157.00408589545384, 156.59546418171485, 156.23679881542884, 155.9219823466808, 155.64565399632664, 155.40310837121015, 155.19021533946824, 155.0033497015393, 154.83932945929425, 154.69536163212018, 154.56899469729848]",154,"[157.46962207662455, 157.00408589545384, 156.59546418171485, 156.23679881542884, 155.9219823466808, 155.64565399632664, 155.40310837121015, 155.19021533946824, 155.0033497015393, 154.83932945929425, 154.69536163212018, 154.56899469729848, 154.45807684481935, 154.36071933578472, 154.27526434045646, 154.2002567082875, 154.1344191892287, 154.07663068437293, 154.02590715558253, 153.98138486902448, 153.9423056872793, 153.908004159574, 153.87789619030823, 153.85146909291777]",154,"[157.46962207662455, 157.00408589545384, 156.59546418171485, 156.23679881542884, 155.9219823466808, 155.64565399632664, 155.40310837121015, 155.19021533946824, 155.0033497015393, 154.83932945929425, 154.69536163212018, 154.56899469729848, 154.45807684481935, 154.36071933578472, 154.27526434045646, 154.2002567082875, 154.1344191892287, 154.07663068437293, 154.02590715558253, 153.98138486902448, 153.9423056872793, 153.908004159574, 153.87789619030823, 153.85146909291777, 153.82827285971055, 153.8079124990151, 153.79004130915655, 153.77435497472774, 153.7605863846249, 153.74850108360823, 153.73789327993535, 153.72858234108432, 153.72040971789474, 153.71323624475014, 153.7069397698286, 153.70141307506887]"
Ponte,366,arima,240,359,"[364.7325503445455, 363.65155571987964, 362.72958665110633, 361.9432488244613, 361.27258947312805, 360.7005910898761, 360.212739619838, 359.7966561766203, 359.44178293680744, 359.1391152426513, 358.88097311524234, 358.66080638047066]",358,"[364.7325503445455, 363.65155571987964, 362.72958665110633, 361.9432488244613, 361.27258947312805, 360.7005910898761, 360.212739619838, 359.7966561766203, 359.44178293680744, 359.1391152426513, 358.88097311524234, 358.66080638047066, 358.4730284629856, 358.312874630793, 358.1762810935469, 358.0597818867408, 357.9604209253067, 357.8756769950452, 357.803399778596, 357.7417552926543, 357.68917935194025, 357.64433787910224, 357.6060930534467, 357.57347443954205]",357,"[364.7325503445455, 363.65155571987964, 362.72958665110633, 361.9432488244613, 361.27258947312805, 360.7005910898761, 360.212739619838, 359.7966561766203, 359.44178293680744, 359.1391152426513, 358.88097311524234, 358.66080638047066, 358.4730284629856, 358.312874630793, 358.1762810935469, 358.0597818867408, 357.9604209253067, 357.8756769950452, 357.803399778596, 357.7417552926543, 357.68917935194025, 357.64433787910224, 357.6060930534467, 357.57347443954205, 357.54565436310486, 357.52192690935004, 357.50169001090154, 357.48443017075834, 357.4697094326705, 357.4571542683091, 357.4464460992485, 357.4373132132638, 357.42952386982546, 357.4228804198468, 357.41721429047806, 357.4123817076895]"
Raiz,85,arima,240,85,"[84.99988133569838, 84.99985151986779, 84.99984402828235, 84.99984214593157, 84.99984167296833, 84.99984155413064, 84.99984152427125, 84.99984151676871, 84.99984151488361, 84.99984151440997, 84.99984151429095, 84.99984151426105]",85,"[84.99988133569838, 84.99985151986779, 84.99984402828235, 84.99984214593157, 84.99984167296833, 84.99984155413064, 84.99984152427125, 84.99984151676871, 84.99984151488361, 84.99984151440997, 84.99984151429095, 84.99984151426105, 84.99984151425353, 84.99984151425164, 84.99984151425117, 84.99984151425106, 84.99984151425103, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102]",85,"[84.99988133569838, 84.99985151986779, 84.99984402828235, 84.99984214593157, 84.99984167296833, 84.99984155413064, 84.99984152427125, 84.99984151676871, 84.99984151488361, 84.99984151440997, 84.99984151429095, 84.99984151426105, 84.99984151425353, 84.99984151425164, 84.99984151425117, 84.99984151425106, 84.99984151425103, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102, 84.99984151425102]"
Refinaria,282,arima,240,276,"[281.0262203967273, 280.181980173324, 279.4500470414154, 278.81548107934145, 278.2653297845464, 277.7883636923604, 277.3748471647298, 277.016339670329, 276.70552349986554, 276.4360543999711, 276.20243207688014, 275.99988792666846]",275,"[281.0262203967273, 280.181980173324, 279.4500470414154, 278.81548107934145, 278.2653297845464, 277.7883636923604, 277.3748471647298, 277.016339670329, 276.70552349986554, 276.4360543999711, 276.20243207688014, 275.99988792666846, 275.8242877004478, 275.67204711775753, 275.5400587056881, 275.4256283704073, 275.3264204064113, 275.240409821053, 275.1658410012154, 275.10119187844987, 275.04514286113323, 274.9965498995001, 274.9544211337639, 274.91789664867787]",275,"[281.0262203967273, 280.181980173324, 279.4500470414154, 278.81548107934145, 278.2653297845464, 277.7883636923604, 277.3748471647298, 277.016339670329, 276.70552349986554, 276.4360543999711, 276.20243207688014, 275.99988792666846, 275.8242877004478, 275.67204711775753, 275.5400587056881, 275.4256283704073, 275.3264204064113, 275.240409821053, 275.1658410012154, 275.10119187844987, 275.04514286113323, 274.9965498995001, 274.9544211337639, 274.91789664867787, 274.8862309212945, 274.8587776036541, 274.834976329793, 274.81434127778095, 274.79645125332155, 274.7809410925054, 274.7674942082325, 274.75583612816547, 274.7457288923113, 274.73696619587895, 274.7293691782696, 274.722782772247]"
Salobro,200,arima,240,197,"[199.4836185831791, 199.0307319072395, 198.6335325995914, 198.28517328946418, 197.9796485651869, 197.7116914461117, 197.4766825844462, 197.2705706317131, 197.0898023970245, 196.9312615931598, 196.792215114483, 196.67026592057763]",196,"[199.4836185831791, 199.0307319072395, 198.6335325995914, 198.28517328946418, 197.9796485651869, 197.7116914461117, 197.4766825844462, 197.2705706317131, 197.0898023970245, 196.9312615931598, 196.792215114483, 196.67026592057763, 196.56331171335356, 196.46950869525568, 196.38723978379682, 196.31508673446137, 196.25180569140292, 196.1963057444506, 196.14763012276612, 196.10493970094635, 196.06749853323075, 196.03466116643625, 196.00586151290548, 195.98060309164768]",196,"[199.4836185831791, 199.0307319072395, 198.6335325995914, 198.28517328946418, 197.9796485651869, 197.7116914461117, 197.4766825844462, 197.2705706317131, 197.0898023970245, 196.9312615931598, 196.792215114483, 196.67026592057763, 196.56331171335356, 196.46950869525568, 196.38723978379682, 196.31508673446137, 196.25180569140292, 196.1963057444506, 196.14763012276612, 196.10493970094635, 196.06749853323075, 196.03466116643625, 196.00586151290548, 195.98060309164768, 195.95845046943802, 195.9390217543273, 195.9219820121568, 195.90703749258446, 195.89393056508445, 195.88243527762074, 195.87235346143058, 195.86351131476715, 195.85575640670865, 195.84895504938163, 195.84298999329832, 195.8377584060774]"
Seriema,591,arima,240,580,"[589.1327722524536, 587.5454684745937, 586.196124086091, 585.0490655934574, 584.0739674667419, 583.2450504038109, 582.5403997862031, 581.9413863081365, 581.4321734614587, 580.9992988556005, 580.6313183036185, 580.3185032647956]",579,"[589.1327722524536, 587.5454684745937, 586.196124086091, 585.0490655934574, 584.0739674667419, 583.2450504038109, 582.5403997862031, 581.9413863081365, 581.4321734614587, 580.9992988556005, 580.6313183036185, 580.3185032647956, 580.0525836448952, 579.8265291543117, 579.6343634437407, 579.4710061035526, 579.3321383497059, 579.2140888452503, 579.1137366388078, 579.028428653956, 578.9559095481238, 578.8942620866368, 578.8418564555388, 578.7973071731429]",579,"[589.1327722524536, 587.5454684745937, 586.196124086091, 585.0490655934574, 584.0739674667419, 583.2450504038109, 582.5403997862031, 581.9413863081365, 581.4321734614587, 580.9992988556005, 580.6313183036185, 580.3185032647956, 580.0525836448952, 579.8265291543117, 579.6343634437407, 579.4710061035526, 579.3321383497059, 579.2140888452503, 579.1137366388078, 579.028428653956, 578.9559095481238, 578.8942620866368, 578.8418564555388, 578.7973071731429, 578.7594364611524, 578.7272431069717, 578.699875993999, 578.6766116001038, 578.6568348694035, 578.640022951631, 578.6257313792031, 578.6135823165426, 578.6032545709938, 578.5944751012436, 578.5870117987512, 578.580667351344]"
São Francisco,365,arima,240,358,"[363.7187514190696, 362.62450173245327, 361.68995835462545, 360.8918120670605, 360.2101556437554, 359.62798732865764, 359.1307867808209, 358.7061529105842, 358.3434945737486, 358.0337664090993, 357.7692432305779, 357.5433273470344]",356,"[363.7187514190696, 362.62450173245327, 361.68995835462545, 360.8918120670605, 360.2101556437554, 359.62798732865764, 359.1307867808209, 358.7061529105842, 358.3434945737486, 358.0337664090993, 357.7692432305779, 357.5433273470344, 357.3503840037609, 357.18560084141905, 357.0448678670096, 356.9246749431413, 356.82202423879414, 356.73435545793876, 356.6594819810781, 356.5955363269638, 356.5409235742033, 356.4942815810079, 356.45444701088866, 356.4204263169201]",356,"[363.7187514190696, 362.62450173245327, 361.68995835462545, 360.8918120670605, 360.2101556437554, 359.62798732865764, 359.1307867808209, 358.7061529105842, 358.3434945737486, 358.0337664090993, 357.7692432305779, 357.5433273470344, 357.3503840037609, 357.18560084141905, 357.0448678670096, 356.9246749431413, 356.82202423879414, 356.73435545793876, 356.6594819810781, 356.5955363269638, 356.5409235742033, 356.4942815810079, 356.45444701088866, 356.4204263169201, 356.39137096086534, 356.3665562490829, 356.3453632573438, 356.327263393731, 356.31180521459163, 356.29860316470786, 356.28732796084574, 356.27769837883, 356.26947423929937, 356.2624504171949, 356.2564517255662, 356.25132854608916]"
